schema_name,table_name,index_name,is_primary,is_unique,is_live,is_valid,is_clustered,predicate,comment,indexdef
auth,sessions,user_id_created_at_idx,false,false,true,true,false,null,null,"CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)"
auth,sso_domains,sso_domains_domain_idx,false,true,true,true,false,null,null,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain))
auth,sso_domains,sso_domains_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id)
auth,sso_domains,sso_domains_sso_provider_id_idx,false,false,true,true,false,null,null,CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id)
auth,sso_providers,sso_providers_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id)
auth,sso_providers,sso_providers_resource_id_idx,false,true,true,true,false,null,null,CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id))
auth,sso_providers,sso_providers_resource_id_pattern_idx,false,false,true,true,false,null,null,CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops)
auth,users,confirmation_token_idx,false,true,true,true,false,((confirmation_token)::text !~ '^[0-9 ]*$'::text),null,CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_current_idx,false,true,true,true,false,((email_change_token_current)::text !~ '^[0-9 ]*$'::text),null,CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_new_idx,false,true,true,true,false,((email_change_token_new)::text !~ '^[0-9 ]*$'::text),null,CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text)
auth,users,reauthentication_token_idx,false,true,true,true,false,((reauthentication_token)::text !~ '^[0-9 ]*$'::text),null,CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text)
auth,users,recovery_token_idx,false,true,true,true,false,((recovery_token)::text !~ '^[0-9 ]*$'::text),null,CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text)
auth,users,users_email_partial_key,false,true,true,true,false,(is_sso_user = false),Auth: A partial unique index that applies only when is_sso_user is false,CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false)
auth,users,users_instance_id_email_idx,false,false,true,true,false,null,null,"CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))"
auth,users,users_instance_id_idx,false,false,true,true,false,null,null,CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id)
auth,users,users_is_anonymous_idx,false,false,true,true,false,null,null,CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous)
auth,users,users_phone_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone)
auth,users,users_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id)
public,Prize_Instantprizes,Prize_Instantprizes_pkey,true,true,true,true,false,null,null,"CREATE UNIQUE INDEX ""Prize_Instantprizes_pkey"" ON public.""Prize_Instantprizes"" USING btree (""UID"")"
public,Prize_Instantprizes,idx_instant_prizes_winning_ticket,false,false,true,true,false,null,null,"CREATE INDEX idx_instant_prizes_winning_ticket ON public.""Prize_Instantprizes"" USING btree (""competitionId"", ""winningTicket"")"
public,_entries_progress,_entries_progress_pkey,true,true,true,true,false,null,null,"CREATE UNIQUE INDEX _entries_progress_pkey ON public._entries_progress USING btree (competition_id, canonical_user_id)"
public,_payment_settings,_payment_settings_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX _payment_settings_pkey ON public._payment_settings USING btree (key)
public,admin_sessions,admin_sessions_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX admin_sessions_pkey ON public.admin_sessions USING btree (id)
public,admin_sessions,admin_sessions_token_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX admin_sessions_token_key ON public.admin_sessions USING btree (token)
public,admin_users,admin_users_email_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX admin_users_email_key ON public.admin_users USING btree (email)
public,admin_users,admin_users_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX admin_users_pkey ON public.admin_users USING btree (id)
public,admin_users_audit,admin_users_audit_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX admin_users_audit_pkey ON public.admin_users_audit USING btree (id)
public,balance_ledger,balance_ledger_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX balance_ledger_pkey ON public.balance_ledger USING btree (id)
public,balance_ledger,balance_ledger_reference_unique,false,true,true,true,false,null,null,CREATE UNIQUE INDEX balance_ledger_reference_unique ON public.balance_ledger USING btree (reference_id)
public,balance_ledger,idx_balance_ledger_canonical,false,false,true,true,false,null,null,CREATE INDEX idx_balance_ledger_canonical ON public.balance_ledger USING btree (canonical_user_id)
public,balance_ledger,idx_balance_ledger_cuid,false,false,true,true,false,null,null,CREATE INDEX idx_balance_ledger_cuid ON public.balance_ledger USING btree (canonical_user_id)
public,balance_ledger,idx_balance_ledger_user_created,false,false,true,true,false,null,null,"CREATE INDEX idx_balance_ledger_user_created ON public.balance_ledger USING btree (canonical_user_id, created_at DESC)"
public,balance_ledger,idx_ledger_user_created,false,false,true,true,false,null,null,"CREATE INDEX idx_ledger_user_created ON public.balance_ledger USING btree (canonical_user_id, created_at)"
public,balance_ledger,u_balance_ledger_reference_id,false,true,true,true,false,null,null,CREATE UNIQUE INDEX u_balance_ledger_reference_id ON public.balance_ledger USING btree (reference_id)
public,bonus_award_audit,bonus_award_audit_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX bonus_award_audit_pkey ON public.bonus_award_audit USING btree (id)
public,canonical_users,canonical_users_base_wallet_address_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_base_wallet_address_key ON public.canonical_users USING btree (base_wallet_address)
public,canonical_users,canonical_users_canonical_user_id_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_canonical_user_id_key ON public.canonical_users USING btree (canonical_user_id)
public,canonical_users,canonical_users_email_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_email_key ON public.canonical_users USING btree (email)
