schema,function,args,returns,language,kind,volatility,security_definer,leakproof,comment
public,confirm_purchase_by_ref,"p_provider text, p_ref text, p_amount numeric, p_currency text, p_event_ts timestamp with time zone",void,plpgsql,f,v,false,false,null
public,confirm_ticket_purchase,"p_pending_ticket_id uuid, p_payment_provider text",jsonb,plpgsql,f,v,true,false,null
public,convert_specific_deposit,"tx_id_param text, usd_value_param numeric, wallet_addr_param text",text,plpgsql,f,s,true,false,null
public,count_sold_tickets_for_competition,p_competition_id uuid,integer,sql,f,s,false,false,null
public,create_entry_charge,"p_canonical_user_id text, p_competition_id uuid, p_entry_price numeric, p_entry_count integer, p_payment_method text, p_tx_ref text, p_metadata jsonb",uuid,plpgsql,f,v,false,false,null
public,create_order_for_reservation,"p_pending_ticket_id uuid, p_payment_provider text, p_currency text","TABLE(order_id uuid, amount numeric, ticket_count integer)",plpgsql,f,v,false,false,null
public,create_ticket_hold,"p_competition_id uuid, p_pending_ticket_id uuid, p_numbers integer[], p_hold_minutes integer","TABLE(inserted_numbers integer[], conflicting_numbers integer[], expires_at timestamp with time zone)",plpgsql,f,v,false,false,null
public,create_user_if_not_exists,"p_canonical_user_id text, p_wallet_address text, p_email text",uuid,plpgsql,f,v,true,false,null
public,credit_balance_topup,"p_user_id text, p_amount numeric, p_tx_ref text, p_provider text, p_privy_user_id text, p_wallet_address text, p_canonical_user_id text, p_notes text",jsonb,plpgsql,f,v,false,false,null
public,credit_balance_with_first_deposit_bonus,"p_canonical_user_id text, p_amount numeric, p_reason text, p_reference_id text",jsonb,plpgsql,f,v,true,false,Credits balance with 50% first-time bonus. Sets proper payment_provider for commerce top-ups (coinbase_commerce or cdp_commerce). Ensures type=topup in user_transactions and balance_ledger for proper classification.
public,credit_sub_account_balance,"p_canonical_user_id text, p_amount numeric, p_currency text, p_reference_id text, p_description text","TABLE(success boolean, previous_balance numeric, new_balance numeric, error_message text)",plpgsql,f,v,true,false,null
public,credit_sub_account_balance_simple,"p_canonical_user_id text, p_currency text, p_amount numeric","TABLE(balance_before numeric, balance_after numeric)",plpgsql,f,v,true,false,null
public,credit_sub_account_with_bonus,"p_canonical_user_id text, p_amount numeric, p_currency text","TABLE(success boolean, previous_balance numeric, new_balance numeric, bonus_amount numeric, bonus_applied boolean)",plpgsql,f,v,true,false,null
public,credit_user_balance,"amount numeric, user_id text",numeric,plpgsql,f,s,true,false,null
public,credit_user_balance,"p_canonical_user_id text, p_amount numeric, p_currency text",void,sql,f,v,false,false,null
public,crypt,"text, text",text,c,f,i,false,false,null
public,cu_normalize_and_enforce,,trigger,plpgsql,f,v,false,false,Comprehensive normalization with fallback logic to ensure data consistency (skips temp placeholders)
public,dearmor,text,bytea,c,f,i,false,false,null
public,debit_balance_and_confirm_tickets,"p_canonical_user_id text, p_order_id uuid, p_competition_id uuid, p_amount_usd numeric, p_tx_ref text, p_currency text",json,plpgsql,f,v,false,false,null
public,debit_sub_account_balance,"p_canonical_user_id text, p_amount numeric, p_currency text, p_reference_id text, p_description text","TABLE(success boolean, previous_balance numeric, new_balance numeric, error_message text)",plpgsql,f,v,true,false,Debits user balance with duplicate prevention via ON CONFLICT. Always provide reference_id to prevent duplicate debits.
public,debit_user_balance,"p_canonical_user_id text, p_amount numeric, p_currency text",boolean,plpgsql,f,v,false,false,null
public,decrypt,"bytea, bytea, text",bytea,c,f,i,false,false,null
public,decrypt_iv,"bytea, bytea, bytea, text",bytea,c,f,i,false,false,null
public,deduplicate_ticket_numbers,p_ticket_numbers text,text,plpgsql,f,i,false,false,"Removes duplicate ticket numbers from a comma-separated string, returning a sorted, deduplicated string."
public,deploy_instant_win_schema,,jsonb,plpgsql,f,v,true,false,"Deploys instant win schema (tables, indexes, RLS). Can be called via API using supabase.rpc(""deploy_instant_win_schema"")"
public,digest,"bytea, text",bytea,c,f,i,false,false,null
public,digest,"text, text",bytea,c,f,i,false,false,null
public,encrypt,"bytea, bytea, text",bytea,c,f,i,false,false,null
public,encrypt_iv,"bytea, bytea, bytea, text",bytea,c,f,i,false,false,null
public,enforce_posted_to_balance,,trigger,plpgsql,f,v,false,false,null
public,enforce_user_transactions_balance,,trigger,plpgsql,f,v,false,false,null
public,enqueue_cdp_event,"event_name text, payload jsonb",uuid,plpgsql,f,v,true,false,null
public,enrich_bonus_spend_competition,,trigger,plpgsql,f,v,false,false,null
public,ensure_canonical_user,"p_email text, p_wallet text",canonical_users,plpgsql,f,v,false,false,null
public,ensure_canonical_user,"p_email text, p_wallet_address text, p_base_wallet_address text, p_eth_wallet_address text, p_privy_user_id text, p_username text, p_avatar_url text, p_country text, p_first_name text, p_last_name text, p_telegram_handle text",canonical_users,plpgsql,f,v,true,false,null
public,ensure_index,sql text,void,plpgsql,f,v,true,false,null
public,ensure_order_for_debit,,trigger,plpgsql,f,v,true,false,null
public,ensure_sub_account_balance_row,"p_canonical text, p_currency text",uuid,plpgsql,f,v,false,false,null
public,enter_competition,"p_canonical_user_id text, p_competition_id uuid, p_ticket_numbers integer[], p_price numeric","TABLE(ticket_id uuid, ticket_number integer, new_balance numeric)",plpgsql,f,v,true,false,null
public,enter_competition_and_deduct,"p_competition_id uuid, p_canonical_user_id text, p_quantity integer","TABLE(sold_count integer, charged_amount numeric, new_balance numeric, ticket_numbers integer[])",plpgsql,f,v,true,false,"Sub-account ONLY purchase. Atomically assigns tickets and deducts from sub_account_balances.available_balance. Inputs: p_competition_id, p_canonical_user_id, p_quantity. Returns sold_count, charged_amount, new_balance, ticket_numbers."
public,exec_sql,sql_query text,json,plpgsql,f,v,true,false,null
public,execute_balance_payment,"p_amount numeric, p_competition_id uuid, p_idempotency_key text, p_reservation_id uuid, p_selected_tickets integer[], p_ticket_count integer, p_user_identifier text",jsonb,plpgsql,f,v,true,false,null
public,expire_hold_if_needed,,trigger,plpgsql,f,v,false,false,null
public,expire_overdue_pending_tickets,,integer,plpgsql,f,v,false,false,null
public,finalize_order,"p_reservation_id text, p_user_id text, p_competition_id text, p_unit_price numeric",jsonb,plpgsql,f,v,true,false,null
